,0,1
0,0,0.005*ストーン + 0.004*書式 + 0.004*緊急 + 0.004*そちら + 0.004*必要 + 0.003*学習 + 0.003*ターゲット + 0.003*インストール + 0.003*目 + 0.003*受付
1,1,0.005*文献 + 0.005*箱 + 0.004*名称 + 0.004*チーム + 0.004*必要 + 0.004*キーパー + 0.004*関係 + 0.004*状態 + 0.003*グループ + 0.003*スムーズ
2,2,0.005*手分け + 0.004*違和感 + 0.004*養成 + 0.004*着手 + 0.004*当日 + 0.004*提示 + 0.004*ベスト + 0.004*cc + 0.003*思考 + 0.003*グループホーム
3,3,0.006*訂正 + 0.006*セミナー + 0.005*視覚 + 0.005*何 + 0.005*余地 + 0.005*分析 + 0.005*ui + 0.004*実践 + 0.004*切り替え + 0.004*platex
4,4,0.006*メンバー + 0.005*火曜 + 0.005*sketch + 0.005*効率 + 0.004*スクラム + 0.004*構築 + 0.004*url + 0.004*持参 + 0.004*考え方 + 0.004*オーバー
5,5,0.006*googledrive + 0.005*目 + 0.005*検証 + 0.004*構築 + 0.004*いくつ + 0.004*社会 + 0.004*孤立 + 0.004*過去 + 0.003*南部 + 0.003*文書
6,6,0.005*python + 0.004*順序 + 0.004*困難 + 0.004*機関 + 0.004*無駄 + 0.004*可能 + 0.004*次回 + 0.004*利用者層 + 0.004*デザイン + 0.004*手描き
7,7,0.004*先生 + 0.004*要望 + 0.004*併用 + 0.004*順位 + 0.004*振り分け + 0.004*it + 0.004*第三者 + 0.004*維持 + 0.003*治療 + 0.003*そ
8,8,0.005*キックオフ + 0.004*継続 + 0.004*治療 + 0.004*予約 + 0.004*cakephp + 0.004*生 + 0.004*練習 + 0.004*指摘 + 0.004*責任 + 0.004*技術
9,9,0.006*レビュー + 0.005*ディスカッション + 0.005*一人ひとり + 0.005*参加 + 0.005*そもそも + 0.005*グルーピング + 0.004*入念 + 0.004*大切 + 0.004*マインドマップ + 0.003*不安
